Model,DPO4034
Firmware Version,2.68
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2.00E-05
Horizontal Delay,-2.70E-06
Sample Interval,2.00E-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0.04
,
,
,
Label,A
TIME,CH1
-8.34E-05,-0.116
-8.34E-05,-0.12
-8.33E-05,-0.116
-8.33E-05,-0.108
-8.33E-05,-0.112
-8.33E-05,-0.12
-8.33E-05,-0.112
-8.32E-05,-0.104
-8.32E-05,-0.116
-8.32E-05,-0.112
-8.32E-05,-0.108
-8.32E-05,-0.12
-8.31E-05,-0.108
-8.31E-05,-0.116
-8.31E-05,-0.112
-8.31E-05,-0.112
-8.31E-05,-0.116
-8.30E-05,-0.112
-8.30E-05,-0.116
-8.30E-05,-0.112
-8.30E-05,-0.128
-8.30E-05,-0.116
-8.29E-05,-0.112
-8.29E-05,-0.108
-8.29E-05,-0.12
-8.29E-05,-0.112
-8.29E-05,-0.108
-8.28E-05,-0.108
-8.28E-05,-0.116
-8.28E-05,-0.112
-8.28E-05,-0.116
-8.28E-05,-0.116
-8.27E-05,-0.116
-8.27E-05,-0.12
-8.27E-05,-0.112
-8.27E-05,-0.112
-8.27E-05,-0.112
-8.26E-05,-0.112
-8.26E-05,-0.12
-8.26E-05,-0.12
-8.26E-05,-0.116
-8.26E-05,-0.112
-8.25E-05,-0.12
-8.25E-05,-0.112
-8.25E-05,-0.116
-8.25E-05,-0.112
-8.25E-05,-0.116
-8.24E-05,-0.12
-8.24E-05,-0.104
-8.24E-05,-0.124
-8.24E-05,-0.116
-8.24E-05,-0.116
-8.23E-05,-0.108
-8.23E-05,-0.116
-8.23E-05,-0.108
-8.23E-05,-0.116
-8.23E-05,-0.108
-8.22E-05,-0.112
-8.22E-05,-0.116
-8.22E-05,-0.116
-8.22E-05,-0.12
